"","revenue","vote_average","genre.1","genre.2","genre.3","Director","actor.1","actor.2","actor.3","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western"
"51",288747895,6.9,"Action","Adventure","Science Fiction","Neil Burger","Shailene Woodley","Theo James","Kate Winslet","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"52",274925095,8.5,"Animation","Family","Fantasy","Hayao Miyazaki","Rumi Hiiragi","Miyu Irino","Mari Natsuki","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"53",39723096,8.2,"Mystery","Thriller","NULL","Christopher Nolan","Guy Pearce","Carrie-Anne Moss","Joe Pantoliano","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"54",589390539,7.1,"Action","Adventure","Comedy","Barry Sonnenfeld","Tommy Lee Jones","Will Smith","Linda Fiorentino","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55",543934787,6.5,"Action","Adventure","Science Fiction","Bryan Singer","James McAvoy","Michael Fassbender","Jennifer Lawrence","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"56",422610419,7.1,"Action","Adventure","War","Zack Snyder","Gerard Butler","Lena Headey","Dominic West","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"57",370541256,7.6,"Action","Science Fiction","NULL","Doug Liman","Tom Cruise","Emily Blunt","Brendan Gleeson","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"58",45284974,8.3,"Crime","Drama","Action","Luc Besson","Jean Reno","Natalie Portman","Gary Oldman","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"59",461983149,6.8,"Animation","Adventure","Comedy","John Lasseter","Owen Wilson","Paul Newman","Bonnie Hunt","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60",72258126,8.1,"Science Fiction","Drama","Romance","Michel Gondry","Jim Carrey","Kate Winslet","Kirsten Dunst","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"61",152159461,7.9,"Action","Crime","Thriller","Quentin Tarantino","Uma Thurman","David Carradine","Daryl Hannah","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"62",1128274794,7,"Action","Adventure","Science Fiction","Ryan Fleck","Brie Larson","Samuel L. Jackson","Ben Mendelsohn","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"63",103215094,7.5,"Drama","Comedy","NULL","Alejandro González Iñárritu","Michael Keaton","Edward Norton","Emma Stone","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
